family,treatment,control,metric,observational_unit,seed_count,bootstrap,mean_difference,mean_difference_pp,one_sided_95_lower,one_sided_95_lower_pp,two_sided_95_low,two_sided_95_high,two_sided_95_low_pp,two_sided_95_high_pp,positive_seeds,zero_seeds,negative_seeds,exact_two_sided_sign_flip_p,seed_differences_json
trained_vs_base,PIS-S8-B8-U4,CTRL-base,final_extracted,paired training seed,7,exact ordinary paired-seed bootstrap (7^7 resamples),0.05571428571428573,5.571428571428573,0.017857142857142905,1.7857142857142905,0.010714285714285772,0.09821428571428568,1.0714285714285772,9.821428571428568,5,0,2,0.078125,"{""1009"": 0.04749999999999999, ""1013"": 0.08999999999999997, ""1019"": 0.05750000000000011, ""1021"": -0.01749999999999996, ""1031"": 0.125, ""1033"": -0.03499999999999992, ""1039"": 0.12249999999999994}"
trained_vs_base,PIS-S8-B8-U4,CTRL-base,final_strict,paired training seed,7,exact ordinary paired-seed bootstrap (7^7 resamples),0.28964285714285715,28.964285714285715,0.20464285714285704,20.464285714285705,0.18785714285714286,0.37392857142857144,18.785714285714285,37.392857142857146,7,0,0,0.015625,"{""1009"": 0.2549999999999999, ""1013"": 0.37999999999999995, ""1019"": 0.3875, ""1021"": 0.02749999999999997, ""1031"": 0.31999999999999995, ""1033"": 0.435, ""1039"": 0.22250000000000003}"
trained_vs_base,PIS-S8-B8-U4,CTRL-base,extracted_auc,paired training seed,7,exact ordinary paired-seed bootstrap (7^7 resamples),0.041116071428571446,4.111607142857145,0.021685267857142882,2.1685267857142883,0.0185546875,0.06318080357142859,1.85546875,6.318080357142859,7,0,0,0.015625,"{""1009"": 0.029492187499999933, ""1013"": 0.0753125, ""1019"": 0.028750000000000053, ""1021"": 0.004218750000000049, ""1031"": 0.07140625, ""1033"": 0.004531250000000098, ""1039"": 0.0741015625}"
trained_vs_base,GRPO-S8-B8-U4,CTRL-base,final_extracted,paired training seed,7,exact ordinary paired-seed bootstrap (7^7 resamples),0.0617857142857143,6.17857142857143,0.043214285714285726,4.321428571428573,0.04142857142857145,0.08178571428571428,4.142857142857145,8.178571428571429,7,0,0,0.015625,"{""1009"": 0.025000000000000022, ""1013"": 0.07250000000000001, ""1019"": 0.0675, ""1021"": 0.020000000000000018, ""1031"": 0.07250000000000001, ""1033"": 0.06500000000000006, ""1039"": 0.10999999999999999}"
trained_vs_base,GRPO-S8-B8-U4,CTRL-base,final_strict,paired training seed,7,exact ordinary paired-seed bootstrap (7^7 resamples),0.30250000000000005,30.250000000000004,0.21500000000000005,21.500000000000004,0.1992857142857143,0.4078571428571429,19.92857142857143,40.78571428571429,7,0,0,0.015625,"{""1009"": 0.22999999999999998, ""1013"": 0.37000000000000005, ""1019"": 0.4025, ""1021"": 0.07000000000000006, ""1031"": 0.26, ""1033"": 0.54, ""1039"": 0.245}"
trained_vs_base,GRPO-S8-B8-U4,CTRL-base,extracted_auc,paired training seed,7,exact ordinary paired-seed bootstrap (7^7 resamples),0.043537946428571436,4.353794642857143,0.030641741071428585,3.0641741071428585,0.02817522321428569,0.05774553571428574,2.817522321428569,5.774553571428574,7,0,0,0.015625,"{""1009"": 0.012851562499999969, ""1013"": 0.05101562500000001, ""1019"": 0.03937500000000005, ""1021"": 0.01675781249999997, ""1031"": 0.06062500000000004, ""1033"": 0.053906250000000044, ""1039"": 0.07023437499999996}"
trained_vs_base,RLOO-S8-B8-U4,CTRL-base,final_extracted,paired training seed,7,exact ordinary paired-seed bootstrap (7^7 resamples),0.06785714285714288,6.785714285714288,0.039285714285714306,3.9285714285714306,0.034642857142857184,0.10285714285714287,3.4642857142857184,10.285714285714286,7,0,0,0.015625,"{""1009"": 0.022499999999999964, ""1013"": 0.11250000000000004, ""1019"": 0.0475000000000001, ""1021"": 0.010000000000000009, ""1031"": 0.10750000000000004, ""1033"": 0.03750000000000009, ""1039"": 0.13749999999999996}"
trained_vs_base,RLOO-S8-B8-U4,CTRL-base,final_strict,paired training seed,7,exact ordinary paired-seed bootstrap (7^7 resamples),0.3067857142857143,30.678571428571427,0.21892857142857153,21.892857142857153,0.20214285714285715,0.4028571428571429,20.214285714285715,40.28571428571429,7,0,0,0.015625,"{""1009"": 0.22499999999999998, ""1013"": 0.41, ""1019"": 0.38499999999999995, ""1021"": 0.05500000000000005, ""1031"": 0.2925, ""1033"": 0.51, ""1039"": 0.27}"
trained_vs_base,RLOO-S8-B8-U4,CTRL-base,extracted_auc,paired training seed,7,exact ordinary paired-seed bootstrap (7^7 resamples),0.04939732142857145,4.939732142857145,0.02757812500000004,2.757812500000004,0.024040178571428594,0.07842075892857148,2.4040178571428594,7.842075892857148,6,0,1,0.03125,"{""1009"": -0.0014453125000000178, ""1013"": 0.05734375000000003, ""1019"": 0.049765625000000036, ""1021"": 0.01683593750000001, ""1031"": 0.06082031249999997, ""1033"": 0.03796875000000011, ""1039"": 0.12449218750000002}"
registered_pis_competitiveness,PIS-S8-B8-U4,GRPO-S8-B8-U4,final_extracted,paired training seed,7,exact ordinary paired-seed bootstrap (7^7 resamples),-0.006071428571428569,-0.6071428571428569,-0.0364285714285714,-3.64285714285714,-0.04357142857142852,0.024642857142857126,-4.357142857142851,2.4642857142857126,4,0,3,0.796875,"{""1009"": 0.022499999999999964, ""1013"": 0.01749999999999996, ""1019"": -0.009999999999999898, ""1021"": -0.03749999999999998, ""1031"": 0.05249999999999999, ""1033"": -0.09999999999999998, ""1039"": 0.012499999999999956}"
