cell,seed_count,final_extracted,final_strict,extracted_auc,strict_auc,late_peak_to_final_extracted_drop,natural_eos,strict_format_failure,hit_token_limit,pass8,mean_train_llm_gen,sd_train_llm_gen,mean_eval_llm_gen,sd_eval_llm_gen,mean_llm_gen,sd_llm_gen,mean_generated_tokens,sd_generated_tokens,mean_backward_tokens,sd_backward_tokens,mean_teacher_forced_scoring_tokens,sd_teacher_forced_scoring_tokens,mean_optimizer_steps,sd_optimizer_steps,mean_model_forward_calls,sd_model_forward_calls,mean_model_forward_input_tokens,sd_model_forward_input_tokens,mean_accelerator_hours,sd_accelerator_hours,mean_peak_cuda_reserved_gb,sd_peak_cuda_reserved_gb,mean_pass8,sd_pass8
CTRL-base,7,0.7439285714285715,0.4967857142857143,0.7439285714285715,0.4967857142857143,0.0,0.9442857142857143,0.39249999999999996,0.05571428571428571,0.8957142857142857,0.0,0.0,1200.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10660.142857142857,395.04321644238223,1115617.7142857143,142781.07319682848,0.09969444444444445,0.007090192757135261,7.444285714285714,0.7321624852188924,0.8957142857142857,0.07457817885886434
PIS-S8-B8-U4,7,0.7996428571428572,0.7864285714285716,0.7850446428571428,0.7567243303571428,0.014642857142857133,0.9892857142857142,0.04357142857142857,0.010714285714285714,0.96,2048.0,0.0,4000.0,0.0,6048.0,0.0,265890.14285714284,13861.624164440129,753237.7142857143,65750.27478197153,188309.42857142858,16437.568695492882,128.0,0.0,47090.857142857145,2265.298393043135,5511293.714285715,744363.6444708357,0.6377896825396825,0.06374223477507754,24.308571428571433,2.6780554423650287,0.96,0.02449489742783177
GRPO-S8-B8-U4,7,0.8057142857142857,0.7992857142857144,0.7874665178571428,0.7416294642857143,0.0021428571428571447,0.9907142857142858,0.03464285714285714,0.009285714285714286,0.9657142857142856,2048.0,0.0,4000.0,0.0,6048.0,0.0,241724.0,10308.19858171155,966896.0,41232.7943268462,,,128.0,0.0,45783.71428571428,1203.4272882460486,5470113.714285715,696839.4536586157,0.6655,0.04782575648684602,23.977142857142855,2.6179490336630207,0.9657142857142856,0.009759000729485339
RLOO-S8-B8-U4,7,0.8117857142857143,0.8035714285714286,0.793325892857143,0.7687332589285714,0.012857142857142853,0.9846428571428572,0.04107142857142858,0.015357142857142857,0.9657142857142856,2048.0,0.0,4000.0,0.0,6048.0,0.0,239947.7142857143,15810.750411395044,959790.8571428572,63243.001645580174,,,128.0,0.0,45287.28571428572,2064.9488060067183,5449980.571428572,698879.3786262064,0.671515873015873,0.05133689526168056,23.977142857142855,2.6179490336630207,0.9657142857142856,0.015118578920369103
