rounds,generations,n_seeds,base_percent,auc_percent,effect_pp,ci_low_pp,ci_high_pp,positive_seeds
10,640,5,72.89999999999999,75.4,2.5,0.44999999999999996,4.5375,5
30,1920,5,72.89999999999999,75.325,2.4250000000000007,-0.4124999999999993,5.291666666666668,5
