run_id,cell,completed_rounds,training_completions,optimizer_steps,seed_count,mean_answer_accuracy,mean_answer_accuracy_change_pp,sd_seed_change_pp,min_seed_change_pp,max_seed_change_pp
f31c2a6e,VIN-S8-B8-U4,0,0,0,3,0.7366666666666667,0.0,0.0,0.0,0.0
f31c2a6e,VIN-S8-B8-U4,1,64,4,3,0.75,1.3333333333333346,0.5773502691896263,1.0000000000000009,2.0000000000000018
f31c2a6e,VIN-S8-B8-U4,2,128,8,3,0.7508333333333334,1.416666666666666,1.5069284433354286,0.0,3.0000000000000027
f31c2a6e,VIN-S8-B8-U4,4,256,16,3,0.7608333333333334,2.416666666666667,2.4537386440559086,1.0000000000000009,5.249999999999999
f31c2a6e,VIN-S8-B8-U4,8,512,32,3,0.7666666666666667,3.0000000000000027,4.866980583482941,-0.7499999999999951,8.499999999999996
f31c2a6e,VIN-S8-B8-U4,16,1024,64,3,0.7516666666666666,1.4999999999999973,6.28987281270456,-5.75,5.499999999999994
f31c2a6e,VIN-S8-B8-U4,24,1536,96,3,0.7033333333333334,-3.3333333333333326,9.906857894071827,-14.749999999999996,3.0000000000000027
f31c2a6e,VIN-S8-B8-U4,32,2048,128,3,0.6525,-8.416666666666664,4.625563028792637,-13.749999999999996,-5.499999999999994
f31c2a6e,PIS-S8-B8-U4,0,0,0,3,0.7366666666666667,0.0,0.0,0.0,0.0
f31c2a6e,PIS-S8-B8-U4,1,64,4,3,0.7383333333333333,0.16666666666666682,0.6291528696058986,-0.5000000000000004,0.7500000000000062
f31c2a6e,PIS-S8-B8-U4,2,128,8,3,0.7466666666666667,1.0000000000000009,0.2500000000000058,0.7499999999999951,1.2500000000000067
f31c2a6e,PIS-S8-B8-U4,4,256,16,3,0.755,1.833333333333335,1.1814539065631544,0.5000000000000004,2.750000000000008
f31c2a6e,PIS-S8-B8-U4,8,512,32,3,0.7625,2.583333333333334,1.2332207155790547,1.750000000000007,3.9999999999999925
f31c2a6e,PIS-S8-B8-U4,16,1024,64,3,0.7875,5.083333333333336,1.4215601757693308,3.500000000000003,6.25
f31c2a6e,PIS-S8-B8-U4,24,1536,96,3,0.7958333333333333,5.916666666666666,3.41259920490721,2.0000000000000018,8.250000000000002
f31c2a6e,PIS-S8-B8-U4,32,2048,128,3,0.8,6.333333333333335,2.3629078131263,4.5000000000000036,8.999999999999996
f31c2a6e,GRPO-S8-B8-U4,0,0,0,3,0.7366666666666667,0.0,0.0,0.0,0.0
f31c2a6e,GRPO-S8-B8-U4,1,64,4,3,0.7491666666666666,1.2499999999999993,0.6614378277661503,0.7499999999999951,2.0000000000000018
f31c2a6e,GRPO-S8-B8-U4,2,128,8,3,0.7483333333333333,1.166666666666664,2.020725942163687,-1.0000000000000009,2.9999999999999916
f31c2a6e,GRPO-S8-B8-U4,4,256,16,3,0.755,1.8333333333333313,2.08166599946613,-0.5000000000000004,3.499999999999992
f31c2a6e,GRPO-S8-B8-U4,8,512,32,3,0.7516666666666666,1.4999999999999976,1.7320508075688725,0.5000000000000004,3.499999999999992
f31c2a6e,GRPO-S8-B8-U4,16,1024,64,3,0.7783333333333333,4.166666666666666,2.875905654456227,1.2500000000000067,6.999999999999995
f31c2a6e,GRPO-S8-B8-U4,24,1536,96,3,0.7891666666666667,5.250000000000003,1.3228756555322903,3.750000000000009,6.25
f31c2a6e,GRPO-S8-B8-U4,32,2048,128,3,0.8091666666666667,7.250000000000001,2.8173569173961592,4.0000000000000036,9.000000000000007
f31c2a6e,RLOO-S8-B8-U4,0,0,0,3,0.7366666666666667,0.0,0.0,0.0,0.0
f31c2a6e,RLOO-S8-B8-U4,1,64,4,3,0.7408333333333333,0.4166666666666689,2.6020824993326612,-2.499999999999991,2.500000000000002
f31c2a6e,RLOO-S8-B8-U4,2,128,8,3,0.7558333333333334,1.9166666666666665,1.18145390656315,1.0000000000000009,3.2499999999999973
f31c2a6e,RLOO-S8-B8-U4,4,256,16,3,0.7591666666666667,2.25,1.3919410907074987,0.7500000000000062,3.499999999999992
f31c2a6e,RLOO-S8-B8-U4,8,512,32,3,0.7575,2.083333333333333,4.652508284069281,-2.2499999999999964,6.999999999999995
f31c2a6e,RLOO-S8-B8-U4,16,1024,64,3,0.7875,5.083333333333336,5.773502691896249,1.750000000000007,11.749999999999993
f31c2a6e,RLOO-S8-B8-U4,24,1536,96,3,0.8208333333333333,8.416666666666668,3.6429154990657264,4.250000000000009,10.999999999999998
f31c2a6e,RLOO-S8-B8-U4,32,2048,128,3,0.8141666666666667,7.750000000000005,2.8831406486676934,4.75000000000001,10.499999999999998
