dataset,challenger,reference,metric,difference,difference_pp,ci_low,ci_high,ci_low_pp,ci_high_pp,paired_seeds,paired_questions
svamp,posterior,frozen_base,final_extracted_answer_accuracy,0.07314285714285715,7.314285714285715,0.05442857142857143,0.09442857142857143,5.442857142857143,9.442857142857143,7,1000
svamp,posterior,frozen_base,final_strict_terminal_accuracy,0.07385714285714286,7.385714285714286,-0.13186785714285715,0.2570035714285714,-13.186785714285715,25.70035714285714,7,1000
svamp,non_rl_self_training,frozen_base,final_extracted_answer_accuracy,0.027,2.7,-0.0015714285714285715,0.056574999999999945,-0.15714285714285714,5.657499999999994,7,1000
svamp,non_rl_self_training,frozen_base,final_strict_terminal_accuracy,0.24357142857142858,24.357142857142858,0.13142857142857142,0.37242857142857144,13.142857142857142,37.24285714285715,7,1000
svamp,rl,frozen_base,final_extracted_answer_accuracy,0.04014285714285714,4.014285714285714,0.01042857142857143,0.06914285714285714,1.042857142857143,6.914285714285715,7,1000
svamp,rl,frozen_base,final_strict_terminal_accuracy,0.2547142857142857,25.47142857142857,0.13385000000000002,0.38357142857142856,13.385000000000002,38.357142857142854,7,1000
svamp,posterior,non_rl_self_training,final_extracted_answer_accuracy,0.046142857142857145,4.614285714285715,0.022,0.07257499999999995,2.1999999999999997,7.257499999999995,7,1000
svamp,posterior,non_rl_self_training,final_strict_terminal_accuracy,-0.1697142857142857,-16.97142857142857,-0.29100714285714285,-0.06985714285714285,-29.100714285714286,-6.985714285714286,7,1000
svamp,posterior,rl,final_extracted_answer_accuracy,0.033,3.3000000000000003,0.0074285714285714285,0.05971428571428571,0.7428571428571429,5.9714285714285715,7,1000
svamp,posterior,rl,final_strict_terminal_accuracy,-0.18085714285714286,-18.085714285714285,-0.2838607142857143,-0.09214285714285714,-28.38607142857143,-9.214285714285714,7,1000
math_500,posterior,frozen_base,final_extracted_answer_accuracy,0.021714285714285714,2.1714285714285713,-0.028857142857142856,0.07142857142857142,-2.8857142857142857,7.142857142857142,7,500
math_500,posterior,frozen_base,final_strict_terminal_accuracy,0.08428571428571428,8.428571428571429,0.026857142857142857,0.14114999999999991,2.685714285714286,14.114999999999991,7,500
math_500,non_rl_self_training,frozen_base,final_extracted_answer_accuracy,0.11428571428571428,11.428571428571429,0.07571428571428572,0.15543571428571418,7.571428571428572,15.543571428571418,7,500
math_500,non_rl_self_training,frozen_base,final_strict_terminal_accuracy,0.2317142857142857,23.17142857142857,0.17057142857142857,0.28885714285714287,17.057142857142857,28.885714285714286,7,500
math_500,rl,frozen_base,final_extracted_answer_accuracy,0.10285714285714286,10.285714285714285,0.066,0.142,6.6000000000000005,14.2,7,500
math_500,rl,frozen_base,final_strict_terminal_accuracy,0.18514285714285714,18.514285714285712,0.13114285714285714,0.242,13.114285714285714,24.2,7,500
math_500,posterior,non_rl_self_training,final_extracted_answer_accuracy,-0.09257142857142857,-9.257142857142856,-0.13028571428571428,-0.056857142857142856,-13.028571428571428,-5.685714285714286,7,500
math_500,posterior,non_rl_self_training,final_strict_terminal_accuracy,-0.14742857142857144,-14.742857142857144,-0.182,-0.11428571428571428,-18.2,-11.428571428571429,7,500
math_500,posterior,rl,final_extracted_answer_accuracy,-0.08114285714285714,-8.114285714285714,-0.11771428571428572,-0.046,-11.771428571428572,-4.6,7,500
math_500,posterior,rl,final_strict_terminal_accuracy,-0.10085714285714285,-10.085714285714285,-0.1382857142857143,-0.066,-13.82857142857143,-6.6000000000000005,7,500
