run_id,snapshot_last_task,evidence_status,official_test_used,cell,task_ids,method_family,trainer_method,S,B,U,planned_rollouts,n_seeds,seeds,mean_extracted_auc,mean_extracted_final,mean_strict_auc,mean_strict_final,mean_natural_eos_final,mean_pass8_final,mean_late_peak_drop_pp,mean_accelerator_hours,seed31_extracted_auc,seed31_extracted_final,seed31_strict_auc,seed31_strict_final,seed31_pass8_final,seed47_extracted_auc,seed47_extracted_final,seed47_strict_auc,seed47_strict_final,seed47_pass8_final,seed73_extracted_auc,seed73_extracted_final,seed73_strict_auc,seed73_strict_final,seed73_pass8_final,se_extracted_auc,mean_extracted_auc_delta_pp,mean_final_extracted_delta_pp,mean_pass8_delta_pp,positive_auc_seeds,passes_all_gates
f31c2a6e,489,validated_complete_three_seed_cell,False,CTRL-base,1|2|3,base,base,,,,0,3,31|47|73,0.7366666667,0.7366666667,0.6516666667,0.6516666667,0.9608333333,0.9433333333,0,0.1089814815,0.7625,0.7625,0.7325,0.7325,0.95,0.715,0.715,0.645,0.645,0.92,0.7325,0.7325,0.5775,0.5775,0.96,0.01386943081,0,0,0,0,
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S8-B8-U1,13|14|15,VIN,AC-ALG1,8,8,1,2048,3,31|47|73,0.7604166667,0.7741666667,0.7170703125,0.7558333333,0.9783333333,0.97,0.6666666667,0.5578888889,0.770078125,0.7775,0.7481640625,0.765,0.96,0.7308984375,0.74,0.686484375,0.715,0.97,0.7802734375,0.805,0.7165625,0.7875,0.98,0.01504970087,2.375,3.75,2.666666667,3,True
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S8-B8-U4,19|20|21,VIN,AC-ALG1,8,8,4,2048,3,31|47|73,0.7305338542,0.6525,0.7123046875,0.6441666667,0.9925,0.8266666667,12.58333333,0.7742037037,0.69421875,0.625,0.68453125,0.6175,0.82,0.7325,0.66,0.714375,0.6575,0.81,0.7648828125,0.6725,0.7380078125,0.6575,0.85,0.02042263229,-0.61328125,-8.416666667,-11.66666667,2,False
f31c2a6e,489,validated_complete_three_seed_cell,False,PIS-S8-B8-U1,256|257|258,PIS,AC-ALG1,8,8,1,2048,3,31|47|73,0.7490364583,0.7483333333,0.7141536458,0.7408333333,0.97,0.9533333333,1.333333333,0.5530185185,0.769765625,0.7675,0.7525,0.76,0.94,0.71734375,0.715,0.68109375,0.71,0.95,0.76,0.7625,0.7088671875,0.7525,0.97,0.01609516158,1.236979167,1.166666667,1,3,True
f31c2a6e,489,validated_complete_three_seed_cell,False,PIS-S8-B8-U4,262|263|264,PIS,AC-ALG1,8,8,4,2048,3,31|47|73,0.7791666667,0.8,0.7616145833,0.7916666667,0.9941666667,0.95,0.9166666667,0.6060648148,0.7860546875,0.8075,0.7704296875,0.8025,0.96,0.76328125,0.77,0.7484765625,0.765,0.97,0.7881640625,0.8225,0.7659375,0.8075,0.92,0.007966015581,4.25,6.333333333,0.6666666667,3,True
