cell,n_seeds,strict_auc_pct,strict_final_pct,legacy_auc_pct,legacy_final_pct,natural_eos_final_pct
CTRL-base,3,63.5,63.5,71.5,71.5,93.16666666666667
PM-ACIS,3,73.25694444444446,77.16666666666667,78.34027777777777,80.5,93.5
PM-Joint,3,71.60138888888889,78.75,78.9236111111111,80.25,95.91666666666667
Q5-U-Answer,3,38.38472222222222,15.916666666666666,73.60972222222222,73.58333333333333,98.0
Q5-U-Joint,3,71.53333333333333,78.41666666666667,78.84861111111113,80.66666666666667,96.5
Q5-U-Rationale,3,31.419444444444444,2.0,78.81805555555555,79.33333333333333,3.5
