cell,seed,strict_auc_pct,final_strict_accuracy_pct,extracted_auc_pct,final_extracted_accuracy_pct,final_natural_eos_rate_pct
Q5-AD,31,64.425,78.0,77.3125,81.0,93.5
Q5-AD,47,74.3375,76.25,78.275,79.5,95.75
Q5-AD,73,73.56250000000001,79.0,78.9,80.25,97.5
Q5-Q,31,73.83749999999999,75.0,75.33333333333334,75.5,99.25
Q5-Q,47,69.0875,71.25,74.75416666666665,73.0,100.0
Q5-Q,73,71.66666666666669,74.0,74.16250000000001,74.75,98.5
