dataset,role,algorithm,cell_id,seeds,questions_per_seed,final_extracted_answer_accuracy,final_extracted_answer_accuracy_seed_sd,final_strict_terminal_accuracy,final_strict_terminal_accuracy_seed_sd,natural_eos_rate,token_limit_rate,accelerator_hours,generated_tokens
svamp,frozen_base,base,CTRL-base,7,1000,0.7572857142857143,0.019914101249401874,0.5402857142857143,0.1670186758875728,0.9908571428571429,0.009142857142857144,0.46562792270023945,518248
svamp,posterior,AC-ALG1,Q5-LR1e-5-U1-K16,7,1000,0.8304285714285714,0.008885515232803391,0.6141428571428572,0.1487373844190139,0.9918571428571428,0.008142857142857143,0.8017809989456631,651092
svamp,non_rl_self_training,TRICE,TRICE-LR1e-4-CV,7,1000,0.7842857142857144,0.022801420172979637,0.7838571428571429,0.02249761892162942,0.9971428571428572,0.0028571428571428576,0.6467947156049519,496912
svamp,rl,RLOO,RLOO-S16-B8-U4,7,1000,0.7974285714285715,0.02999920633870803,0.7949999999999999,0.029659175084055633,0.9977142857142857,0.002285714285714286,0.6863963597269808,504184
math_500,frozen_base,base,CTRL-base,7,500,0.29542857142857143,0.03841378720744737,0.16657142857142856,0.055458264015555404,0.8011428571428573,0.19885714285714284,1.0640640123982708,921250
math_500,posterior,AC-ALG1,Q5-LR1e-5-U1-K16,7,500,0.31714285714285717,0.03895051806000604,0.25085714285714283,0.03239047479032774,0.768857142857143,0.23114285714285715,1.9762285852205888,1041359
math_500,non_rl_self_training,TRICE,TRICE-LR1e-4-CV,7,500,0.4097142857142857,0.008976158898517132,0.39828571428571424,0.02464220150956678,0.8294285714285714,0.17057142857142857,3.1272539699346655,890377
math_500,rl,RLOO,RLOO-S16-B8-U4,7,500,0.3982857142857143,0.012724180205607049,0.35171428571428576,0.0244520911560701,0.8411428571428571,0.15885714285714286,4.776008382150387,862188
