run_id,snapshot_last_task,evidence_status,official_test_used,cell,task_ids,method_family,trainer_method,S,B,U,planned_rollouts,n_seeds,seeds,mean_extracted_auc,mean_extracted_final,mean_strict_auc,mean_strict_final,mean_natural_eos_final,mean_pass8_final,mean_late_peak_drop_pp,mean_accelerator_hours,seed31_extracted_auc,seed31_extracted_final,seed31_strict_auc,seed31_strict_final,seed31_pass8_final,seed47_extracted_auc,seed47_extracted_final,seed47_strict_auc,seed47_strict_final,seed47_pass8_final,seed73_extracted_auc,seed73_extracted_final,seed73_strict_auc,seed73_strict_final,seed73_pass8_final,se_extracted_auc,mean_extracted_auc_delta_pp,mean_final_extracted_delta_pp,mean_pass8_delta_pp,positive_auc_seeds,passes_all_gates
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S16-B4-U1,31|32|33,VIN,AC-ALG1,16,4,1,2048,3,31|47|73,0.7523697917,0.765,0.7059375,0.7475,0.9783333333,0.95,0.3333333333,0.6059166667,0.7748828125,0.7725,0.7562890625,0.7625,0.94,0.7232421875,0.745,0.676484375,0.72,0.95,0.758984375,0.7775,0.6850390625,0.76,0.96,0.01526982943,1.5703125,2.833333333,0.6666666667,3,True
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S16-B4-U2,34|35|36,VIN,AC-ALG1,16,4,2,2048,3,31|47|73,0.7575390625,0.7733333333,0.7223828125,0.7608333333,0.99,0.95,1.166666667,0.5815740741,0.77359375,0.75,0.758671875,0.7375,0.95,0.7220703125,0.7275,0.679765625,0.715,0.93,0.776953125,0.8425,0.7287109375,0.83,0.97,0.0177608701,2.087239583,3.666666667,0.6666666667,3,True
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S16-B4-U4,37|38|39,VIN,AC-ALG1,16,4,4,2048,3,31|47|73,0.7116536458,0.6283333333,0.6917447917,0.625,0.9991666667,0.7866666667,13.91666667,0.7442592593,0.6920703125,0.5675,0.6790234375,0.5675,0.74,0.6871875,0.6275,0.664921875,0.6225,0.81,0.755703125,0.69,0.7312890625,0.685,0.81,0.02206979781,-2.501302083,-10.83333333,-15.66666667,1,False
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S16-B8-U1,40|41|42,VIN,AC-ALG1,16,8,1,4096,3,31|47|73,0.7535286458,0.7641666667,0.7087890625,0.7516666667,0.9841666667,0.96,0.3333333333,0.9158981481,0.7748046875,0.77,0.7583984375,0.7625,0.94,0.724375,0.7375,0.6798046875,0.72,0.96,0.76140625,0.785,0.6881640625,0.7725,0.98,0.01508123371,1.686197917,2.75,1.666666667,3,True
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S16-B8-U2,43|44|45,VIN,AC-ALG1,16,8,2,4096,3,31|47|73,0.760390625,0.7675,0.7284244792,0.76,0.99,0.9566666667,1.333333333,0.8862037037,0.77609375,0.79,0.760859375,0.785,0.97,0.7176171875,0.705,0.6876171875,0.695,0.92,0.7874609375,0.8075,0.736796875,0.8,0.98,0.02163699343,2.372395833,3.083333333,1.333333333,3,True
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S16-B8-U4,46|47|48,VIN,AC-ALG1,16,8,4,4096,3,31|47|73,0.7112890625,0.5841666667,0.6898177083,0.5783333333,0.9916666667,0.8033333333,18.41666667,1.081259259,0.7511328125,0.56,0.7390234375,0.545,0.79,0.6865234375,0.6075,0.6671875,0.6075,0.78,0.6962109375,0.585,0.6632421875,0.5825,0.84,0.02011720014,-2.537760417,-15.25,-14,0,False
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S16-B16-U1,49|50|51,VIN,AC-ALG1,16,16,1,8192,3,31|47|73,0.7583854167,0.7616666667,0.7221614583,0.7516666667,0.9841666667,0.9566666667,2,1.446962963,0.7767578125,0.735,0.7583984375,0.73,0.95,0.73171875,0.74,0.6912109375,0.72,0.94,0.7666796875,0.81,0.716875,0.805,0.98,0.01364704466,2.171875,2.5,1.333333333,3,True
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S16-B16-U2,52|53|54,VIN,AC-ALG1,16,16,2,8192,3,31|47|73,0.740234375,0.665,0.7163020833,0.6541666667,0.9916666667,0.89,11.33333333,1.437509259,0.733515625,0.625,0.7212109375,0.605,0.88,0.7135546875,0.6175,0.684609375,0.61,0.82,0.7736328125,0.7525,0.7430859375,0.7475,0.97,0.0176654227,0.3567708333,-7.166666667,-5.333333333,1,False
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S16-B16-U4,55|56|57,VIN,AC-ALG1,16,16,4,8192,3,31|47|73,0.7175390625,0.6766666667,0.7034635417,0.6708333333,0.9966666667,0.8166666667,9.416666667,1.626990741,0.6994140625,0.655,0.690234375,0.645,0.82,0.69328125,0.6275,0.677578125,0.62,0.76,0.759921875,0.7475,0.742578125,0.7475,0.87,0.0212652294,-1.912760417,-6,-12.66666667,1,False
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S32-B4-U1,58|59|60,VIN,AC-ALG1,32,4,1,4096,3,31|47|73,0.7533072917,0.7633333333,0.7066276042,0.75,0.9783333333,0.9633333333,0.8333333333,0.8162777778,0.7670703125,0.7775,0.739609375,0.765,0.99,0.727265625,0.745,0.6702734375,0.72,0.95,0.7655859375,0.7675,0.71,0.765,0.95,0.01302788221,1.6640625,2.666666667,2,3,True
