run_id,cell,seed,completed_rounds,S,M,J,training_completions,optimizer_steps,evaluation_questions,answer_accuracy,base_answer_accuracy,answer_accuracy_change_pp
f31c2a6e,RLOO-S8-B8-U4,47,1,8,8,4,64,4,400,0.74,0.715,2.500000000000002
f31c2a6e,RLOO-S8-B8-U4,47,2,8,8,4,128,8,400,0.73,0.715,1.5000000000000013
f31c2a6e,RLOO-S8-B8-U4,47,4,8,8,4,256,16,400,0.74,0.715,2.500000000000002
f31c2a6e,RLOO-S8-B8-U4,47,8,8,8,4,512,32,400,0.73,0.715,1.5000000000000013
f31c2a6e,RLOO-S8-B8-U4,47,16,8,8,4,1024,64,400,0.7325,0.715,1.750000000000007
f31c2a6e,RLOO-S8-B8-U4,47,24,8,8,4,1536,96,400,0.815,0.715,9.999999999999998
f31c2a6e,RLOO-S8-B8-U4,47,32,8,8,4,2048,128,400,0.795,0.715,8.000000000000007
f31c2a6e,VIN-S8-B8-U4,73,0,8,8,4,0,0,400,0.7325,0.7325,0.0
f31c2a6e,VIN-S8-B8-U4,73,1,8,8,4,64,4,400,0.7425,0.7325,1.0000000000000009
f31c2a6e,VIN-S8-B8-U4,73,2,8,8,4,128,8,400,0.745,0.7325,1.2499999999999956
f31c2a6e,VIN-S8-B8-U4,73,4,8,8,4,256,16,400,0.785,0.7325,5.249999999999999
f31c2a6e,VIN-S8-B8-U4,73,8,8,8,4,512,32,400,0.8175,0.7325,8.499999999999996
f31c2a6e,VIN-S8-B8-U4,73,16,8,8,4,1024,64,400,0.7875,0.7325,5.499999999999994
f31c2a6e,VIN-S8-B8-U4,73,24,8,8,4,1536,96,400,0.75,0.7325,1.749999999999996
f31c2a6e,VIN-S8-B8-U4,73,32,8,8,4,2048,128,400,0.6725,0.7325,-6.000000000000005
f31c2a6e,PIS-S8-B8-U4,73,0,8,8,4,0,0,400,0.7325,0.7325,0.0
f31c2a6e,PIS-S8-B8-U4,73,1,8,8,4,64,4,400,0.735,0.7325,0.24999999999999467
f31c2a6e,PIS-S8-B8-U4,73,2,8,8,4,128,8,400,0.74,0.7325,0.7499999999999951
f31c2a6e,PIS-S8-B8-U4,73,4,8,8,4,256,16,400,0.755,0.7325,2.2499999999999964
f31c2a6e,PIS-S8-B8-U4,73,8,8,8,4,512,32,400,0.7725,0.7325,3.9999999999999925
f31c2a6e,PIS-S8-B8-U4,73,16,8,8,4,1024,64,400,0.795,0.7325,6.25
f31c2a6e,PIS-S8-B8-U4,73,24,8,8,4,1536,96,400,0.8075,0.7325,7.499999999999996
f31c2a6e,PIS-S8-B8-U4,73,32,8,8,4,2048,128,400,0.8225,0.7325,8.999999999999996
f31c2a6e,GRPO-S8-B8-U4,73,0,8,8,4,0,0,400,0.7325,0.7325,0.0
f31c2a6e,GRPO-S8-B8-U4,73,1,8,8,4,64,4,400,0.74,0.7325,0.7499999999999951
f31c2a6e,GRPO-S8-B8-U4,73,2,8,8,4,128,8,400,0.7625,0.7325,2.9999999999999916
f31c2a6e,GRPO-S8-B8-U4,73,4,8,8,4,256,16,400,0.7675,0.7325,3.499999999999992
f31c2a6e,GRPO-S8-B8-U4,73,8,8,8,4,512,32,400,0.7675,0.7325,3.499999999999992
f31c2a6e,GRPO-S8-B8-U4,73,16,8,8,4,1024,64,400,0.8025,0.7325,6.999999999999995
f31c2a6e,GRPO-S8-B8-U4,73,24,8,8,4,1536,96,400,0.795,0.7325,6.25
f31c2a6e,GRPO-S8-B8-U4,73,32,8,8,4,2048,128,400,0.82,0.7325,8.749999999999991
f31c2a6e,RLOO-S8-B8-U4,73,0,8,8,4,0,0,400,0.7325,0.7325,0.0
f31c2a6e,RLOO-S8-B8-U4,73,1,8,8,4,64,4,400,0.745,0.7325,1.2499999999999956
f31c2a6e,RLOO-S8-B8-U4,73,2,8,8,4,128,8,400,0.765,0.7325,3.2499999999999973
f31c2a6e,RLOO-S8-B8-U4,73,4,8,8,4,256,16,400,0.7675,0.7325,3.499999999999992
f31c2a6e,RLOO-S8-B8-U4,73,8,8,8,4,512,32,400,0.8025,0.7325,6.999999999999995
f31c2a6e,RLOO-S8-B8-U4,73,16,8,8,4,1024,64,400,0.85,0.7325,11.749999999999993
f31c2a6e,RLOO-S8-B8-U4,73,24,8,8,4,1536,96,400,0.8425,0.7325,10.999999999999998
f31c2a6e,RLOO-S8-B8-U4,73,32,8,8,4,2048,128,400,0.8375,0.7325,10.499999999999998
