cell,n_seeds,strict_auc_pct,strict_final_pct,legacy_auc_pct,legacy_final_pct,natural_eos_final_pct
CTRL-base,3,63.5,63.5,71.5,71.5,93.16666666666667
EOS-F001,3,71.44027777777777,67.33333333333333,74.69444444444444,69.25,97.66666666666667
EOS-F111,3,71.60416666666666,70.66666666666667,73.425,71.75,99.16666666666667
EOS-Q4,3,72.04583333333333,73.08333333333333,75.08333333333334,73.83333333333333,99.08333333333333
EOS-Q5,3,70.775,77.75,78.16250000000001,80.25,95.58333333333333
NOEOS-F001,3,51.8,28.0,74.33888888888889,71.66666666666667,39.583333333333336
NOEOS-F111,3,50.18055555555556,37.75,73.53194444444445,71.83333333333333,55.333333333333336
NOEOS-Q4,3,47.19027777777778,26.5,76.00555555555556,76.91666666666667,35.5
NOEOS-Q5,3,33.15694444444445,3.25,79.35694444444445,80.58333333333333,3.75
