dataset,role,algorithm,cell_id,seed_count,questions_per_seed,final_extracted_answer_accuracy,final_strict_terminal_accuracy,natural_eos_rate,token_limit_rate,gap_count,gap_fraction,gap_natural_eos_count,gap_token_limit_count,strict_correct_count,gap_strict_correct_count,strict_valid_wrong_count,gap_strict_valid_wrong_count,missing_marker_count,gap_missing_marker_count,multiple_markers_count,gap_multiple_markers_count,one_invalid_or_nonterminal_marker_count,gap_one_invalid_or_nonterminal_marker_count,gap_fraction_of_extracted_correct
math_500,frozen_base,base,CTRL-base,7,500,0.29542857142857143,0.16657142857142856,0.8011428571428572,0.19885714285714284,64.42857142857143,0.12885714285714286,64.42857142857143,0,83.28571428571429,0,94.71428571428571,0,318,64,2.4285714285714284,0.2857142857142857,1.5714285714285714,0.14285714285714285,0.43617021276595747
math_500,non_rl_self_training,TRICE,TRICE-LR1e-4-CV,7,500,0.4097142857142857,0.3982857142857143,0.8294285714285714,0.17057142857142857,5.714285714285714,0.011428571428571429,5.571428571428571,0.14285714285714285,199.14285714285714,0,200.14285714285714,0,99.57142857142857,5.428571428571429,0.14285714285714285,0,1,0.2857142857142857,0.02789400278940028
math_500,posterior,AC-ALG1,Q5-LR1e-5-U1-K16,7,500,0.31714285714285717,0.25085714285714283,0.7688571428571429,0.23114285714285715,33.142857142857146,0.06628571428571428,33.142857142857146,0,125.42857142857143,0,108.14285714285714,0,265.42857142857144,33.142857142857146,0.2857142857142857,0,0.7142857142857143,0,0.20900900900900898
math_500,rl,RLOO,RLOO-S16-B8-U4,7,500,0.3982857142857143,0.3517142857142857,0.8411428571428571,0.15885714285714286,23.285714285714285,0.04657142857142857,23.142857142857142,0.14285714285714285,175.85714285714286,0,185.42857142857142,0,137.14285714285714,23.285714285714285,0,0,1.5714285714285714,0,0.11692969870875178
svamp,frozen_base,base,CTRL-base,7,1000,0.7572857142857143,0.5402857142857143,0.9908571428571429,0.009142857142857144,217,0.217,215.71428571428572,1.2857142857142858,540.2857142857143,0,152.28571428571428,0,292.14285714285717,215.14285714285714,0.2857142857142857,0.14285714285714285,15,1.7142857142857142,0.28654970760233917
svamp,non_rl_self_training,TRICE,TRICE-LR1e-4-CV,7,1000,0.7842857142857144,0.7838571428571429,0.9971428571428571,0.002857142857142857,0.42857142857142855,0.0004285714285714286,0.2857142857142857,0.14285714285714285,783.8571428571429,0,199.71428571428572,0,2.5714285714285716,0.14285714285714285,0,0,13.857142857142858,0.2857142857142857,0.000546448087431694
svamp,posterior,AC-ALG1,Q5-LR1e-5-U1-K16,7,1000,0.8304285714285714,0.6141428571428571,0.9918571428571429,0.008142857142857143,216.28571428571428,0.21628571428571428,214.42857142857142,1.8571428571428572,614.1428571428571,0,100.14285714285714,0,275.14285714285717,215,0,0,10.571428571428571,1.2857142857142858,0.2604507139170824
svamp,rl,RLOO,RLOO-S16-B8-U4,7,1000,0.7974285714285715,0.795,0.9977142857142857,0.002285714285714286,2.4285714285714284,0.002428571428571429,2.2857142857142856,0.14285714285714285,795,0,183.85714285714286,0,4.428571428571429,1.4285714285714286,0,0,16.714285714285715,1,0.003045503403797922
