cell,train_llm_gen,optimizer_steps,accelerator_hours,eval_format_failure_fraction,eval_strict_correct_and_eos_fraction,eval_eos_given_strict_correct_fraction,eval_nonempty_reasoning_fraction,eval_strict_correct_with_reasoning_fraction,eval_direct_answer_only_fraction,eval_strict_format_failure_fraction,eval_fallback_parse_fraction,eval_unparsed_fraction,eval_multiple_marker_fraction,eval_nonterminal_marker_fraction,eval_correct_without_marker_fraction,eval_natural_eos_fraction,eval_hit_max_new_fraction,eval_mean_tokens_until_eos,backward_tokens
CTRL-base,0.0,0.0,0.12874074074074068,0.25083333333333335,0.6133333333333333,0.9967479674796748,0.7908333333333334,0.615,0.0,0.25083333333333335,0.0,0.0,0.0,0.041666666666666664,0.0,0.94,0.06,121.39333333333333,0.0
Q5-AD-M-LR1e-5-U1-K16,2048.0,32.0,0.5765185185185185,0.19416666666666668,0.6916666666666668,0.9988851727982162,0.8283333333333333,0.6925,0.0,0.19416666666666668,0.0,0.0,0.0,0.022500000000000003,0.0,0.9375,0.0625,145.7325,156333.0
Q5-EARLY-HALF,2048.0,32.0,0.64125,0.22333333333333336,0.6716666666666667,1.0,0.7975,0.6716666666666667,0.0,0.22333333333333336,0.0,0.0,0.0,0.020833333333333332,0.0,0.9341666666666667,0.06583333333333334,146.66,157100.33333333334
Q5-LATE-HALF,2048.0,32.0,0.6676481481481481,0.15416666666666667,0.7308333333333333,1.0,0.8716666666666667,0.7308333333333333,0.0,0.15416666666666667,0.0,0.0,0.0,0.025833333333333333,0.0,0.9433333333333334,0.05666666666666667,143.91083333333333,159602.33333333334
Q5-UNIFORM075,2048.0,32.0,0.6686666666666667,0.19166666666666665,0.6966666666666667,0.9989451476793249,0.8316666666666667,0.6975000000000001,0.0,0.19166666666666665,0.0,0.0,0.0,0.023333333333333334,0.0,0.9391666666666666,0.06083333333333333,146.06333333333333,159115.66666666666
