cell,final_extracted,final_strict,extracted_auc,strict_auc
CTRL-base,0.7549999999999999,0.615,0.7549999999999999,0.615
Q5-AD-M-LR1e-5-U1-K16,0.8016666666666667,0.6925,0.7930338541666666,0.6875520833333333
Q5-EARLY-HALF,0.8016666666666666,0.6716666666666667,0.7981640625,0.6815625000000001
Q5-LATE-HALF,0.8125,0.7308333333333333,0.7957552083333334,0.6925911458333333
Q5-UNIFORM075,0.8016666666666667,0.6975000000000001,0.7931640624999999,0.6870442708333334
