treatment,control,metric,mean_difference_pp,descriptive_low_pp,descriptive_high_pp,per_seed_difference_pp
Q5-EARLY-HALF,Q5-AD-M-LR1e-5-U1-K16,final_extracted,-3.700743415417188e-15,-2.0000000000000018,1.749999999999996,"[1.749999999999996, 0.24999999999999467, -2.0000000000000018]"
Q5-EARLY-HALF,Q5-AD-M-LR1e-5-U1-K16,final_strict,-2.083333333333337,-6.500000000000005,0.24999999999999467,"[0.24999999999999467, 0.0, -6.500000000000005]"
Q5-EARLY-HALF,Q5-AD-M-LR1e-5-U1-K16,extracted_auc,0.513020833333333,-0.14843749999999822,1.6718749999999893,"[1.6718749999999893, 0.015625000000007994, -0.14843749999999822]"
Q5-EARLY-HALF,Q5-AD-M-LR1e-5-U1-K16,strict_auc,-0.5989583333333326,-1.6875000000000084,1.480468750000008,"[1.480468750000008, -1.5898437499999973, -1.6875000000000084]"
Q5-LATE-HALF,Q5-AD-M-LR1e-5-U1-K16,final_extracted,1.0833333333333326,-1.5000000000000013,3.500000000000003,"[3.500000000000003, 1.2499999999999956, -1.5000000000000013]"
Q5-LATE-HALF,Q5-AD-M-LR1e-5-U1-K16,final_strict,3.8333333333333295,-2.500000000000002,10.499999999999998,"[3.499999999999992, 10.499999999999998, -2.500000000000002]"
Q5-LATE-HALF,Q5-AD-M-LR1e-5-U1-K16,extracted_auc,0.27213541666665975,-0.2773437500000031,1.058593749999981,"[1.058593749999981, 0.03515625000000133, -0.2773437500000031]"
Q5-LATE-HALF,Q5-AD-M-LR1e-5-U1-K16,strict_auc,0.5039062500000007,-0.7226562499999978,1.2656250000000036,"[1.2656250000000036, 0.968749999999996, -0.7226562499999978]"
Q5-UNIFORM075,Q5-AD-M-LR1e-5-U1-K16,final_extracted,0.0,-1.5000000000000013,1.0000000000000009,"[1.0000000000000009, -1.5000000000000013, 0.5000000000000004]"
Q5-UNIFORM075,Q5-AD-M-LR1e-5-U1-K16,final_strict,0.4999999999999967,-1.2500000000000067,1.5000000000000013,"[1.2499999999999956, -1.2500000000000067, 1.5000000000000013]"
Q5-UNIFORM075,Q5-AD-M-LR1e-5-U1-K16,extracted_auc,0.013020833333328893,-0.4570312499999951,0.5859374999999889,"[0.5859374999999889, -0.4570312499999951, -0.0898437500000071]"
Q5-UNIFORM075,Q5-AD-M-LR1e-5-U1-K16,strict_auc,-0.050781249999994525,-1.6054687499999942,0.8984375000000044,"[0.8984375000000044, -1.6054687499999942, 0.5546875000000062]"
Q5-EARLY-HALF,Q5-LATE-HALF,final_extracted,-1.0833333333333361,-1.750000000000007,-0.5000000000000004,"[-1.750000000000007, -1.0000000000000009, -0.5000000000000004]"
Q5-EARLY-HALF,Q5-LATE-HALF,final_strict,-5.916666666666667,-10.499999999999998,-3.2499999999999973,"[-3.2499999999999973, -10.499999999999998, -4.0000000000000036]"
Q5-EARLY-HALF,Q5-LATE-HALF,extracted_auc,0.24088541666667332,-0.01953124999999334,0.6132812500000084,"[0.6132812500000084, -0.01953124999999334, 0.12890625000000488]"
Q5-EARLY-HALF,Q5-LATE-HALF,strict_auc,-1.102864583333333,-2.5585937499999933,0.21484375000000444,"[0.21484375000000444, -2.5585937499999933, -0.9648437500000107]"
Q5-EARLY-HALF,Q5-UNIFORM075,final_extracted,-3.700743415417188e-15,-2.500000000000002,1.749999999999996,"[0.7499999999999951, 1.749999999999996, -2.500000000000002]"
Q5-EARLY-HALF,Q5-UNIFORM075,final_strict,-2.5833333333333335,-8.000000000000007,1.2500000000000067,"[-1.0000000000000009, 1.2500000000000067, -8.000000000000007]"
Q5-EARLY-HALF,Q5-UNIFORM075,extracted_auc,0.5000000000000042,-0.05859374999999112,1.0859375000000004,"[1.0859375000000004, 0.4726562500000031, -0.05859374999999112]"
Q5-EARLY-HALF,Q5-UNIFORM075,strict_auc,-0.5481770833333381,-2.2421875000000147,0.5820312500000036,"[0.5820312500000036, 0.015624999999996891, -2.2421875000000147]"
Q5-LATE-HALF,Q5-UNIFORM075,final_extracted,1.0833333333333326,-2.0000000000000018,2.749999999999997,"[2.500000000000002, 2.749999999999997, -2.0000000000000018]"
Q5-LATE-HALF,Q5-UNIFORM075,final_strict,3.3333333333333326,-4.0000000000000036,11.750000000000005,"[2.2499999999999964, 11.750000000000005, -4.0000000000000036]"
Q5-LATE-HALF,Q5-UNIFORM075,extracted_auc,0.2591145833333308,-0.187499999999996,0.49218749999999645,"[0.472656249999992, 0.49218749999999645, -0.187499999999996]"
Q5-LATE-HALF,Q5-UNIFORM075,strict_auc,0.5546874999999951,-1.277343750000004,2.5742187499999902,"[0.3671874999999991, 2.5742187499999902, -1.277343750000004]"
